PKG: com.android.calendar
____PERM: DENY	   2	            ACCOUNTS	com.google.android.googleapps.permission.GOOGLE_AUTH.mail
____PERM: GRNT	DNGR	            CALENDAR	android.permission.READ_CALENDAR
____PERM: GRNT	DNGR	            CALENDAR	android.permission.WRITE_CALENDAR
____PERM: GRNT	DNGR	            CONTACTS	android.permission.GET_ACCOUNTS
____PERM: GRNT	DNGR	            CONTACTS	android.permission.READ_CONTACTS
____PERM: GRNT	NRML	           UNGROUPED	android.permission.INTERNET
____PERM: GRNT	NRML	           UNGROUPED	android.permission.MANAGE_ACCOUNTS
____PERM: GRNT	NRML	           UNGROUPED	android.permission.READ_SYNC_SETTINGS
____PERM: GRNT	NRML	           UNGROUPED	android.permission.RECEIVE_BOOT_COMPLETED
____PERM: GRNT	NRML	           UNGROUPED	android.permission.USE_CREDENTIALS
____PERM: GRNT	NRML	           UNGROUPED	android.permission.VIBRATE
____PERM: GRNT	NRML	           UNGROUPED	android.permission.WAKE_LOCK
---: ---------------------------------------------------
PKG: com.android.sdksetup
____PERM: GRNT	1218	           UNGROUPED	android.permission.WRITE_SETTINGS
____PERM: GRNT	  18	           UNGROUPED	android.permission.BACKUP
____PERM: GRNT	  50	           UNGROUPED	android.permission.WRITE_SECURE_SETTINGS
---: ---------------------------------------------------
PKG: com.android.providers.contacts
____PERM: GRNT	  18	           UNGROUPED	android.permission.BIND_DIRECTORY_SEARCH
____PERM: GRNT	  18	           UNGROUPED	android.permission.MANAGE_USERS
____PERM: GRNT	  18	           UNGROUPED	android.permission.PROCESS_PHONE_ACCOUNT_REGISTRATION
____PERM: GRNT	  18	           UNGROUPED	android.permission.SEND_CALL_LOG_CHANGE
____PERM: GRNT	 274	           UNGROUPED	android.permission.UPDATE_APP_OPS_STATS
____PERM: GRNT	  50	           UNGROUPED	android.permission.INTERACT_ACROSS_USERS
____PERM: GRNT	DNGR	            CONTACTS	android.permission.GET_ACCOUNTS
____PERM: GRNT	DNGR	               PHONE	android.permission.READ_PHONE_STATE
____PERM: GRNT	NRML	           UNGROUPED	android.permission.READ_SYNC_SETTINGS
---: ---------------------------------------------------
PKG: com.android.phone
____PERM: GRNT	1218	           UNGROUPED	android.permission.CHANGE_NETWORK_STATE
____PERM: GRNT	1218	           UNGROUPED	android.permission.SYSTEM_ALERT_WINDOW
____PERM: GRNT	1218	           UNGROUPED	android.permission.WRITE_SETTINGS
____PERM: GRNT	  18	               PHONE	android.permission.ACCESS_IMS_CALL_SERVICE
____PERM: GRNT	  18	           UNGROUPED	android.permission.BIND_CARRIER_MESSAGING_SERVICE
____PERM: GRNT	  18	           UNGROUPED	android.permission.BIND_CARRIER_SERVICES
____PERM: GRNT	  18	           UNGROUPED	android.permission.CALL_PRIVILEGED
____PERM: GRNT	  18	           UNGROUPED	android.permission.CHANGE_COMPONENT_ENABLED_STATE
____PERM: GRNT	  18	           UNGROUPED	android.permission.CHANGE_DEVICE_IDLE_TEMP_WHITELIST
____PERM: GRNT	  18	           UNGROUPED	android.permission.CONNECTIVITY_INTERNAL
____PERM: GRNT	  18	           UNGROUPED	android.permission.LOCAL_MAC_ADDRESS
____PERM: GRNT	  18	           UNGROUPED	android.permission.MANAGE_USERS
____PERM: GRNT	  18	           UNGROUPED	android.permission.MODIFY_PHONE_STATE
____PERM: GRNT	  18	           UNGROUPED	android.permission.PERFORM_CDMA_PROVISIONING
____PERM: GRNT	  18	           UNGROUPED	android.permission.READ_PRIVILEGED_PHONE_STATE
____PERM: GRNT	  18	           UNGROUPED	android.permission.READ_SEARCH_INDEXABLES
____PERM: GRNT	  18	           UNGROUPED	android.permission.REBOOT
____PERM: GRNT	  18	           UNGROUPED	android.permission.REGISTER_CALL_PROVIDER
____PERM: GRNT	  18	           UNGROUPED	android.permission.REGISTER_SIM_SUBSCRIPTION
____PERM: GRNT	  18	           UNGROUPED	android.permission.SEND_RESPOND_VIA_MESSAGE
____PERM: GRNT	  18	           UNGROUPED	android.permission.SET_TIME
____PERM: GRNT	  18	           UNGROUPED	android.permission.SHUTDOWN
____PERM: GRNT	  18	           UNGROUPED	android.permission.STATUS_BAR
____PERM: GRNT	  18	           UNGROUPED	android.permission.STOP_APP_SWITCHES
____PERM: GRNT	  18	           UNGROUPED	android.permission.UPDATE_LOCK
____PERM: GRNT	  18	           UNGROUPED	android.permission.WRITE_APN_SETTINGS
____PERM: GRNT	  18	           UNGROUPED	com.android.voicemail.permission.READ_VOICEMAIL
____PERM: GRNT	  18	           UNGROUPED	com.android.voicemail.permission.WRITE_VOICEMAIL
____PERM: GRNT	   2	           UNGROUPED	android.permission.BROADCAST_SMS
____PERM: GRNT	   2	           UNGROUPED	android.permission.BROADCAST_WAP_PUSH
____PERM: GRNT	   2	           UNGROUPED	android.permission.DEVICE_POWER
____PERM: GRNT	   2	           UNGROUPED	android.permission.INTERNAL_SYSTEM_WINDOW
____PERM: GRNT	   2	           UNGROUPED	android.permission.SET_PREFERRED_APPLICATIONS
____PERM: GRNT	 258	           UNGROUPED	android.permission.INTERACT_ACROSS_USERS_FULL
____PERM: GRNT	 274	           UNGROUPED	android.permission.UPDATE_APP_OPS_STATS
____PERM: GRNT	  50	           UNGROUPED	android.permission.CHANGE_CONFIGURATION
____PERM: GRNT	  50	           UNGROUPED	android.permission.DUMP
____PERM: GRNT	  50	           UNGROUPED	android.permission.INTERACT_ACROSS_USERS
____PERM: GRNT	  50	           UNGROUPED	android.permission.WRITE_SECURE_SETTINGS
____PERM: GRNT	DNGR	            CONTACTS	android.permission.GET_ACCOUNTS
____PERM: GRNT	DNGR	            CONTACTS	android.permission.READ_CONTACTS
____PERM: GRNT	DNGR	            CONTACTS	android.permission.WRITE_CONTACTS
____PERM: GRNT	DNGR	            LOCATION	android.permission.ACCESS_COARSE_LOCATION
____PERM: GRNT	DNGR	          MICROPHONE	android.permission.RECORD_AUDIO
____PERM: GRNT	DNGR	               PHONE	android.permission.CALL_PHONE
____PERM: GRNT	DNGR	               PHONE	android.permission.PROCESS_OUTGOING_CALLS
____PERM: GRNT	DNGR	               PHONE	android.permission.READ_CALL_LOG
____PERM: GRNT	DNGR	               PHONE	android.permission.USE_SIP
____PERM: GRNT	DNGR	               PHONE	android.permission.WRITE_CALL_LOG
____PERM: GRNT	DNGR	               PHONE	com.android.voicemail.permission.ADD_VOICEMAIL
____PERM: GRNT	DNGR	                 SMS	android.permission.READ_SMS
____PERM: GRNT	DNGR	                 SMS	android.permission.RECEIVE_SMS
____PERM: GRNT	DNGR	                 SMS	android.permission.SEND_SMS
____PERM: GRNT	NRML	           UNGROUPED	android.permission.ACCESS_NETWORK_STATE
____PERM: GRNT	NRML	           UNGROUPED	android.permission.ACCESS_WIFI_STATE
____PERM: GRNT	NRML	           UNGROUPED	android.permission.AUTHENTICATE_ACCOUNTS
____PERM: GRNT	NRML	           UNGROUPED	android.permission.BLUETOOTH
____PERM: GRNT	NRML	           UNGROUPED	android.permission.BLUETOOTH_ADMIN
____PERM: GRNT	NRML	           UNGROUPED	android.permission.BROADCAST_STICKY
____PERM: GRNT	NRML	           UNGROUPED	android.permission.CHANGE_WIFI_STATE
____PERM: GRNT	NRML	           UNGROUPED	android.permission.DISABLE_KEYGUARD
____PERM: GRNT	NRML	           UNGROUPED	android.permission.INTERNET
____PERM: GRNT	NRML	           UNGROUPED	android.permission.MANAGE_ACCOUNTS
____PERM: GRNT	NRML	           UNGROUPED	android.permission.MODIFY_AUDIO_SETTINGS
____PERM: GRNT	NRML	           UNGROUPED	android.permission.READ_SYNC_SETTINGS
____PERM: GRNT	NRML	           UNGROUPED	android.permission.RECEIVE_BOOT_COMPLETED
____PERM: GRNT	NRML	           UNGROUPED	android.permission.REORDER_TASKS
____PERM: GRNT	NRML	           UNGROUPED	android.permission.SET_TIME_ZONE
____PERM: GRNT	NRML	           UNGROUPED	android.permission.VIBRATE
____PERM: GRNT	NRML	           UNGROUPED	android.permission.WAKE_LOCK
____PERM: GRNT	NRML	           UNGROUPED	android.permission.WRITE_SMS
____PERM: GRNT	NRML	           UNGROUPED	android.permission.WRITE_SYNC_SETTINGS
---: ---------------------------------------------------
PKG: com.android.music
____PERM: GRNT	1218	           UNGROUPED	android.permission.SYSTEM_ALERT_WINDOW
____PERM: GRNT	1218	           UNGROUPED	android.permission.WRITE_SETTINGS
____PERM: GRNT	DNGR	               PHONE	android.permission.READ_PHONE_STATE
____PERM: GRNT	DNGR	             STORAGE	android.permission.READ_EXTERNAL_STORAGE
____PERM: GRNT	DNGR	             STORAGE	android.permission.WRITE_EXTERNAL_STORAGE
____PERM: GRNT	NRML	           UNGROUPED	android.permission.BROADCAST_STICKY
____PERM: GRNT	NRML	           UNGROUPED	android.permission.INTERNET
____PERM: GRNT	NRML	           UNGROUPED	android.permission.WAKE_LOCK
---: ---------------------------------------------------
PKG: android
____PERM: GRNT	 114	           UNGROUPED	android.permission.PACKAGE_USAGE_STATS
____PERM: GRNT	  18	           UNGROUPED	android.permission.CONTROL_VPN
____PERM: GRNT	  18	           UNGROUPED	android.permission.LOCATION_HARDWARE
____PERM: GRNT	   2	           UNGROUPED	android.intent.category.MASTER_CLEAR.permission.C2D_MESSAGE
____PERM: GRNT	   2	           UNGROUPED	android.permission.BIND_JOB_SERVICE
____PERM: GRNT	   2	           UNGROUPED	android.permission.CONFIRM_FULL_BACKUP
---: ---------------------------------------------------
PKG: com.android.email
____PERM: GRNT	   2	           UNGROUPED	com.android.email.permission.ACCESS_PROVIDER
____PERM: GRNT	DNGR	            CALENDAR	android.permission.READ_CALENDAR
____PERM: GRNT	DNGR	            CALENDAR	android.permission.WRITE_CALENDAR
____PERM: GRNT	DNGR	            CONTACTS	android.permission.GET_ACCOUNTS
____PERM: GRNT	DNGR	            CONTACTS	android.permission.READ_CONTACTS
____PERM: GRNT	DNGR	            CONTACTS	android.permission.WRITE_CONTACTS
____PERM: GRNT	DNGR	            MESSAGES	com.android.email.permission.READ_ATTACHMENT
____PERM: GRNT	DNGR	               PHONE	android.permission.READ_PHONE_STATE
____PERM: GRNT	DNGR	             STORAGE	android.permission.READ_EXTERNAL_STORAGE
____PERM: GRNT	DNGR	             STORAGE	android.permission.WRITE_EXTERNAL_STORAGE
____PERM: GRNT	NRML	             NETWORK	android.permission.DOWNLOAD_WITHOUT_NOTIFICATION
____PERM: GRNT	NRML	           UNGROUPED	android.permission.ACCESS_NETWORK_STATE
____PERM: GRNT	NRML	           UNGROUPED	android.permission.AUTHENTICATE_ACCOUNTS
____PERM: GRNT	NRML	           UNGROUPED	android.permission.INTERNET
____PERM: GRNT	NRML	           UNGROUPED	android.permission.MANAGE_ACCOUNTS
____PERM: GRNT	NRML	           UNGROUPED	android.permission.NFC
____PERM: GRNT	NRML	           UNGROUPED	android.permission.READ_PROFILE
____PERM: GRNT	NRML	           UNGROUPED	android.permission.READ_SYNC_SETTINGS
____PERM: GRNT	NRML	           UNGROUPED	android.permission.RECEIVE_BOOT_COMPLETED
____PERM: GRNT	NRML	           UNGROUPED	android.permission.USE_CREDENTIALS
____PERM: GRNT	NRML	           UNGROUPED	android.permission.VIBRATE
____PERM: GRNT	NRML	           UNGROUPED	android.permission.WAKE_LOCK
____PERM: GRNT	NRML	           UNGROUPED	android.permission.WRITE_SYNC_SETTINGS
---: ---------------------------------------------------
PKG: com.example.android.apis
____PERM: DENY	DNGR	              CAMERA	android.permission.CAMERA
____PERM: DENY	DNGR	            CONTACTS	android.permission.READ_CONTACTS
